concept:name,time:timestamp,case:concept:name
Request For Payment SUBMITTED by EMPLOYEE,2017-01-16 08:16:14+00:00,request for payment 185342
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-16 08:16:24+00:00,request for payment 185342
Permit SUBMITTED by EMPLOYEE,2017-01-17 09:24:51+00:00,request for payment 76396
Permit APPROVED by SUPERVISOR,2017-01-17 09:25:19+00:00,request for payment 76396
Permit FINAL_APPROVED by DIRECTOR,2017-01-17 12:17:01+00:00,request for payment 76396
Request For Payment SUBMITTED by EMPLOYEE,2017-01-17 16:19:43+00:00,request for payment 76195
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-17 16:19:57+00:00,request for payment 76195
Request Payment,2017-01-18 10:02:30+00:00,request for payment 73536
Request Payment,2017-01-18 15:10:58+00:00,request for payment 185342
Request Payment,2017-01-18 15:11:36+00:00,request for payment 185377
Permit SUBMITTED by EMPLOYEE,2017-01-18 19:59:18+00:00,request for payment 73039
Permit FINAL_APPROVED by SUPERVISOR,2017-01-18 19:59:28+00:00,request for payment 73039
Permit SUBMITTED by EMPLOYEE,2017-01-18 21:32:21+00:00,request for payment 76424
Permit FINAL_APPROVED by SUPERVISOR,2017-01-18 21:32:35+00:00,request for payment 76424
Permit SUBMITTED by EMPLOYEE,2017-01-19 12:33:36+00:00,request for payment 73258
Permit FINAL_APPROVED by SUPERVISOR,2017-01-19 12:33:38+00:00,request for payment 73258
Request For Payment SUBMITTED by EMPLOYEE,2017-01-19 17:47:18+00:00,request for payment 73552
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-19 17:47:21+00:00,request for payment 73552
Request For Payment SUBMITTED by EMPLOYEE,2017-01-19 19:35:15+00:00,request for payment 73039
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-19 19:37:34+00:00,request for payment 73039
Permit SUBMITTED by EMPLOYEE,2017-01-20 07:19:48+00:00,request for payment 76579
Permit FINAL_APPROVED by SUPERVISOR,2017-01-20 07:19:52+00:00,request for payment 76579
Request For Payment REJECTED by MISSING,2017-01-20 09:12:42+00:00,request for payment 185372
_END_,2017-01-20 09:12:43+00:00,request for payment 185372
Request Payment,2017-01-20 11:14:28+00:00,request for payment 73039
Request For Payment SUBMITTED by EMPLOYEE,2017-01-20 18:49:01+00:00,request for payment 76424
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-20 18:49:18+00:00,request for payment 76424
Request For Payment SUBMITTED by EMPLOYEE,2017-01-20 18:51:01+00:00,request for payment 185354
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-20 18:51:09+00:00,request for payment 185354
Request Payment,2017-01-23 09:27:26+00:00,request for payment 76195
Request Payment,2017-01-23 13:43:35+00:00,request for payment 73552
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 73536
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 185377
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 185342
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 73039
_END_,2017-01-23 16:32:20+00:00,request for payment 185377
_END_,2017-01-23 16:32:20+00:00,request for payment 185342
_END_,2017-01-23 16:32:20+00:00,request for payment 73039
Permit SUBMITTED by EMPLOYEE,2017-01-24 10:15:56+00:00,request for payment 74097
Permit FINAL_APPROVED by SUPERVISOR,2017-01-24 10:15:58+00:00,request for payment 74097
Request Payment,2017-01-24 11:49:34+00:00,request for payment 185354
Permit SUBMITTED by EMPLOYEE,2017-01-24 15:48:44+00:00,request for payment 72603
Permit FINAL_APPROVED by SUPERVISOR,2017-01-24 15:48:48+00:00,request for payment 72603
Request Payment,2017-01-25 10:31:55+00:00,request for payment 185391
Request For Payment SUBMITTED by EMPLOYEE,2017-01-25 11:25:01+00:00,request for payment 72603
Payment Handled,2017-01-26 16:30:47+00:00,request for payment 73552
Payment Handled,2017-01-26 16:30:47+00:00,request for payment 76195
Payment Handled,2017-01-26 16:30:47+00:00,request for payment 185354
_END_,2017-01-26 16:30:48+00:00,request for payment 76195
_END_,2017-01-26 16:30:48+00:00,request for payment 185354
Permit SUBMITTED by EMPLOYEE,2017-01-29 09:58:46+00:00,request for payment 77902
Permit FINAL_APPROVED by SUPERVISOR,2017-01-29 09:58:55+00:00,request for payment 77902
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 11:37:40+00:00,request for payment 76316
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 11:40:57+00:00,request for payment 76316
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 185391
_END_,2017-01-30 16:31:41+00:00,request for payment 185391
Permit SUBMITTED by EMPLOYEE,2017-01-31 08:41:52+00:00,request for payment 73897
Request For Payment SUBMITTED by EMPLOYEE,2017-01-31 09:46:42+00:00,request for payment 74097
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 09:46:49+00:00,request for payment 74097
Permit SUBMITTED by EMPLOYEE,2017-01-31 13:38:55+00:00,request for payment 76930
Permit SUBMITTED by EMPLOYEE,2017-01-31 13:38:55+00:00,request for payment 76934
Permit SUBMITTED by EMPLOYEE,2017-01-31 13:38:55+00:00,request for payment 76932
Permit SUBMITTED by EMPLOYEE,2017-01-31 13:38:55+00:00,request for payment 76936
Permit APPROVED by PRE_APPROVER,2017-01-31 13:40:27+00:00,request for payment 76930
Permit APPROVED by PRE_APPROVER,2017-01-31 13:40:27+00:00,request for payment 76934
Permit APPROVED by PRE_APPROVER,2017-01-31 13:40:27+00:00,request for payment 76932
Permit APPROVED by PRE_APPROVER,2017-01-31 13:40:27+00:00,request for payment 76936
Permit FINAL_APPROVED by SUPERVISOR,2017-01-31 13:56:20+00:00,request for payment 73897
Request Payment,2017-02-01 09:40:00+00:00,request for payment 76316
Permit FINAL_APPROVED by SUPERVISOR,2017-02-01 14:52:50+00:00,request for payment 76930
Permit FINAL_APPROVED by SUPERVISOR,2017-02-01 14:52:50+00:00,request for payment 76934
Permit FINAL_APPROVED by SUPERVISOR,2017-02-01 14:52:50+00:00,request for payment 76932
Permit FINAL_APPROVED by SUPERVISOR,2017-02-01 14:52:50+00:00,request for payment 76936
Permit SUBMITTED by EMPLOYEE,2017-02-02 09:55:35+00:00,request for payment 72937
Permit SUBMITTED by EMPLOYEE,2017-02-02 09:55:35+00:00,request for payment 72939
Permit APPROVED by PRE_APPROVER,2017-02-02 09:55:37+00:00,request for payment 72937
Permit APPROVED by PRE_APPROVER,2017-02-02 09:55:37+00:00,request for payment 72939
Permit SUBMITTED by EMPLOYEE,2017-02-02 09:57:45+00:00,request for payment 76710
Permit SUBMITTED by EMPLOYEE,2017-02-02 09:57:45+00:00,request for payment 76712
Permit APPROVED by PRE_APPROVER,2017-02-02 09:57:47+00:00,request for payment 76710
Permit APPROVED by PRE_APPROVER,2017-02-02 09:57:47+00:00,request for payment 76712
Permit SUBMITTED by EMPLOYEE,2017-02-02 10:00:37+00:00,request for payment 74133
Permit APPROVED by PRE_APPROVER,2017-02-02 10:00:38+00:00,request for payment 74133
Permit SUBMITTED by EMPLOYEE,2017-02-02 10:02:48+00:00,request for payment 76972
Permit APPROVED by PRE_APPROVER,2017-02-02 10:02:49+00:00,request for payment 76972
Permit FINAL_APPROVED by SUPERVISOR,2017-02-02 10:15:01+00:00,request for payment 76972
Permit FINAL_APPROVED by SUPERVISOR,2017-02-02 10:15:33+00:00,request for payment 74133
Permit FINAL_APPROVED by SUPERVISOR,2017-02-02 10:16:08+00:00,request for payment 76710
Permit FINAL_APPROVED by SUPERVISOR,2017-02-02 10:16:08+00:00,request for payment 76712
Permit FINAL_APPROVED by SUPERVISOR,2017-02-02 10:16:36+00:00,request for payment 72937
Permit FINAL_APPROVED by SUPERVISOR,2017-02-02 10:16:36+00:00,request for payment 72939
Request Payment,2017-02-03 07:50:07+00:00,request for payment 74097
Request For Payment SUBMITTED by EMPLOYEE,2017-02-03 14:32:54+00:00,request for payment 76579
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-03 14:44:07+00:00,request for payment 76579
Request For Payment SUBMITTED by EMPLOYEE,2017-02-03 17:44:59+00:00,request for payment 76712
Request For Payment REJECTED by PRE_APPROVER,2017-02-03 17:45:04+00:00,request for payment 76712
Request For Payment SUBMITTED by EMPLOYEE,2017-02-03 17:48:06+00:00,request for payment 76710
Request For Payment REJECTED by PRE_APPROVER,2017-02-03 17:48:09+00:00,request for payment 76710
Request For Payment REJECTED by EMPLOYEE,2017-02-06 07:08:12+00:00,request for payment 76712
Request For Payment REJECTED by EMPLOYEE,2017-02-06 07:09:10+00:00,request for payment 76710
Permit SUBMITTED by EMPLOYEE,2017-02-06 09:11:25+00:00,request for payment 73932
Permit FINAL_APPROVED by SUPERVISOR,2017-02-06 09:11:33+00:00,request for payment 73932
Request Payment,2017-02-06 12:33:35+00:00,request for payment 76579
Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 14:46:49+00:00,request for payment 76710
Request For Payment APPROVED by PRE_APPROVER,2017-02-06 14:46:55+00:00,request for payment 76710
Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 14:47:19+00:00,request for payment 76712
Request For Payment APPROVED by PRE_APPROVER,2017-02-06 14:47:23+00:00,request for payment 76712
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 14:57:40+00:00,request for payment 76712
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 14:57:51+00:00,request for payment 76710
Payment Handled,2017-02-06 16:31:45+00:00,request for payment 76316
Payment Handled,2017-02-06 16:31:45+00:00,request for payment 74097
_END_,2017-02-06 16:31:46+00:00,request for payment 76316
_END_,2017-02-06 16:31:46+00:00,request for payment 74097
Permit SUBMITTED by EMPLOYEE,2017-02-07 11:49:13+00:00,request for payment 73955
Permit FINAL_APPROVED by SUPERVISOR,2017-02-07 11:49:21+00:00,request for payment 73955
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-08 17:30:09+00:00,request for payment 72603
Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 08:35:04+00:00,request for payment 73955
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-09 08:35:11+00:00,request for payment 73955
Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 09:06:54+00:00,request for payment 73897
Request Payment,2017-02-09 09:14:10+00:00,request for payment 76712
Request Payment,2017-02-09 09:16:58+00:00,request for payment 76710
Request Payment,2017-02-09 14:01:35+00:00,request for payment 73955
Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 15:40:05+00:00,request for payment 76936
Request For Payment REJECTED by PRE_APPROVER,2017-02-09 15:42:55+00:00,request for payment 76936
Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 15:44:25+00:00,request for payment 76934
Request For Payment REJECTED by PRE_APPROVER,2017-02-09 15:44:31+00:00,request for payment 76934
Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 15:48:30+00:00,request for payment 76930
Request For Payment REJECTED by PRE_APPROVER,2017-02-09 15:48:32+00:00,request for payment 76930
Request For Payment SUBMITTED by EMPLOYEE,2017-02-09 15:58:45+00:00,request for payment 76932
Request For Payment REJECTED by PRE_APPROVER,2017-02-09 15:58:49+00:00,request for payment 76932
Payment Handled,2017-02-09 16:32:18+00:00,request for payment 76579
_END_,2017-02-09 16:32:19+00:00,request for payment 76579
Request Payment,2017-02-10 10:31:02+00:00,request for payment 76424
Request For Payment SUBMITTED by EMPLOYEE,2017-02-10 13:53:30+00:00,request for payment 185385
Request For Payment APPROVED by PRE_APPROVER,2017-02-10 13:54:05+00:00,request for payment 185385
Request For Payment APPROVED by SUPERVISOR,2017-02-13 10:48:29+00:00,request for payment 185385
Permit SUBMITTED by EMPLOYEE,2017-02-13 11:04:18+00:00,request for payment 76613
Permit FINAL_APPROVED by SUPERVISOR,2017-02-13 11:04:59+00:00,request for payment 76613
Request For Payment SUBMITTED by EMPLOYEE,2017-02-13 11:08:52+00:00,request for payment 76613
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-13 12:59:30+00:00,request for payment 76613
Request For Payment REJECTED by EMPLOYEE,2017-02-13 14:29:48+00:00,request for payment 76936
Permit SUBMITTED by EMPLOYEE,2017-02-13 14:30:34+00:00,request for payment 76622
Permit APPROVED by PRE_APPROVER,2017-02-13 14:30:38+00:00,request for payment 76622
Request For Payment REJECTED by EMPLOYEE,2017-02-13 15:11:13+00:00,request for payment 76934
Request For Payment REJECTED by EMPLOYEE,2017-02-13 15:12:00+00:00,request for payment 76930
Request For Payment REJECTED by EMPLOYEE,2017-02-13 15:12:56+00:00,request for payment 76932
Payment Handled,2017-02-13 16:32:18+00:00,request for payment 76424
Payment Handled,2017-02-13 16:32:18+00:00,request for payment 76710
Payment Handled,2017-02-13 16:32:18+00:00,request for payment 76712
Payment Handled,2017-02-13 16:32:18+00:00,request for payment 73955
_END_,2017-02-13 16:32:19+00:00,request for payment 76424
_END_,2017-02-13 16:32:19+00:00,request for payment 76710
_END_,2017-02-13 16:32:19+00:00,request for payment 76712
_END_,2017-02-13 16:32:19+00:00,request for payment 73955
Request For Payment FINAL_APPROVED by DIRECTOR,2017-02-14 20:30:19+00:00,request for payment 185385
Permit SUBMITTED by EMPLOYEE,2017-02-15 10:20:32+00:00,request for payment 76250
Permit SUBMITTED by EMPLOYEE,2017-02-15 10:20:32+00:00,request for payment 76252
Permit SUBMITTED by EMPLOYEE,2017-02-15 10:20:32+00:00,request for payment 76248
Permit APPROVED by PRE_APPROVER,2017-02-15 10:20:38+00:00,request for payment 76250
Permit APPROVED by PRE_APPROVER,2017-02-15 10:20:38+00:00,request for payment 76252
Permit APPROVED by PRE_APPROVER,2017-02-15 10:20:38+00:00,request for payment 76248
Request Payment,2017-02-15 13:53:18+00:00,request for payment 76613
Request Payment,2017-02-15 14:20:28+00:00,request for payment 185385
Request Payment,2017-02-15 14:22:51+00:00,request for payment 72603
Permit FINAL_APPROVED by SUPERVISOR,2017-02-17 14:03:43+00:00,request for payment 76622
Permit SUBMITTED by EMPLOYEE,2017-02-20 08:16:01+00:00,request for payment 75827
Permit SUBMITTED by EMPLOYEE,2017-02-20 08:16:01+00:00,request for payment 75830
Permit SUBMITTED by EMPLOYEE,2017-02-20 08:19:02+00:00,request for payment 74504
Permit APPROVED by PRE_APPROVER,2017-02-20 08:20:44+00:00,request for payment 75827
Permit APPROVED by PRE_APPROVER,2017-02-20 08:20:44+00:00,request for payment 75830
Permit APPROVED by PRE_APPROVER,2017-02-20 08:20:44+00:00,request for payment 74504
Payment Handled,2017-02-20 16:32:08+00:00,request for payment 72603
Payment Handled,2017-02-20 16:32:08+00:00,request for payment 185385
Payment Handled,2017-02-20 16:32:08+00:00,request for payment 76613
_END_,2017-02-20 16:32:09+00:00,request for payment 72603
_END_,2017-02-20 16:32:09+00:00,request for payment 185385
Permit SUBMITTED by EMPLOYEE,2017-02-21 13:13:01+00:00,request for payment 74521
Permit SUBMITTED by EMPLOYEE,2017-02-21 13:13:01+00:00,request for payment 74519
Permit FINAL_APPROVED by SUPERVISOR,2017-02-21 13:13:04+00:00,request for payment 74521
Permit APPROVED by PRE_APPROVER,2017-02-21 13:13:04+00:00,request for payment 74521
Permit FINAL_APPROVED by SUPERVISOR,2017-02-21 13:13:04+00:00,request for payment 74519
Permit APPROVED by PRE_APPROVER,2017-02-21 13:13:04+00:00,request for payment 74519
Permit FINAL_APPROVED by SUPERVISOR,2017-02-22 04:15:13+00:00,request for payment 76250
Permit FINAL_APPROVED by SUPERVISOR,2017-02-22 04:15:13+00:00,request for payment 76252
Permit FINAL_APPROVED by SUPERVISOR,2017-02-22 04:15:13+00:00,request for payment 76248
Request For Payment SUBMITTED by EMPLOYEE,2017-02-22 07:01:37+00:00,request for payment 76622
Request For Payment APPROVED by PRE_APPROVER,2017-02-22 07:02:51+00:00,request for payment 76622
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-22 08:55:17+00:00,request for payment 76622
Permit SUBMITTED by EMPLOYEE,2017-02-22 11:07:13+00:00,request for payment 76648
Permit SUBMITTED by EMPLOYEE,2017-02-22 11:07:13+00:00,request for payment 76650
Permit APPROVED by SUPERVISOR,2017-02-22 11:07:15+00:00,request for payment 76648
Permit APPROVED by SUPERVISOR,2017-02-22 11:07:15+00:00,request for payment 76650
Permit SUBMITTED by EMPLOYEE,2017-02-22 12:44:45+00:00,request for payment 74547
Permit FINAL_APPROVED by SUPERVISOR,2017-02-22 12:44:48+00:00,request for payment 74547
Request For Payment SUBMITTED by EMPLOYEE,2017-02-22 12:58:40+00:00,request for payment 74547
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-22 12:58:44+00:00,request for payment 74547
Permit SUBMITTED by EMPLOYEE,2017-02-22 15:14:18+00:00,request for payment 74020
Permit SUBMITTED by EMPLOYEE,2017-02-22 15:14:18+00:00,request for payment 74017
Permit FINAL_APPROVED by SUPERVISOR,2017-02-22 15:14:23+00:00,request for payment 74020
Permit FINAL_APPROVED by SUPERVISOR,2017-02-22 15:14:23+00:00,request for payment 74017
Permit FINAL_APPROVED by DIRECTOR,2017-02-23 07:44:50+00:00,request for payment 76648
Permit FINAL_APPROVED by DIRECTOR,2017-02-23 07:44:50+00:00,request for payment 76650
Request For Payment SUBMITTED by EMPLOYEE,2017-02-23 10:25:01+00:00,request for payment 74521
Request For Payment APPROVED by PRE_APPROVER,2017-02-23 11:46:13+00:00,request for payment 74521
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-23 11:49:13+00:00,request for payment 74521
Request Payment,2017-02-23 12:58:53+00:00,request for payment 74521
Permit SUBMITTED by EMPLOYEE,2017-02-23 13:26:09+00:00,request for payment 75931
Permit APPROVED by PRE_APPROVER,2017-02-23 13:26:12+00:00,request for payment 75931
Permit FINAL_APPROVED by SUPERVISOR,2017-02-23 13:26:12+00:00,request for payment 75931
Request For Payment SUBMITTED by EMPLOYEE,2017-02-23 14:42:09+00:00,request for payment 74519
Request For Payment APPROVED by PRE_APPROVER,2017-02-23 15:38:14+00:00,request for payment 74519
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-23 15:38:38+00:00,request for payment 74519
Permit REJECTED by MISSING,2017-02-24 11:50:45+00:00,request for payment 73536
_END_,2017-02-24 11:50:46+00:00,request for payment 73536
Request Payment,2017-02-24 12:12:28+00:00,request for payment 74519
Permit SUBMITTED by EMPLOYEE,2017-02-26 12:10:43+00:00,request for payment 73308
Permit APPROVED by PRE_APPROVER,2017-02-26 12:23:15+00:00,request for payment 73308
Permit FINAL_APPROVED by SUPERVISOR,2017-02-27 04:15:11+00:00,request for payment 75827
Permit FINAL_APPROVED by SUPERVISOR,2017-02-27 04:15:11+00:00,request for payment 75830
Permit FINAL_APPROVED by SUPERVISOR,2017-02-27 04:15:11+00:00,request for payment 74504
Permit FINAL_APPROVED by SUPERVISOR,2017-02-27 10:02:10+00:00,request for payment 73308
Payment Handled,2017-02-27 16:30:51+00:00,request for payment 74521
_END_,2017-02-27 16:30:52+00:00,request for payment 74521
Request For Payment SUBMITTED by EMPLOYEE,2017-02-28 07:57:31+00:00,request for payment 74020
Request For Payment APPROVED by PRE_APPROVER,2017-02-28 08:26:48+00:00,request for payment 74020
Permit SUBMITTED by EMPLOYEE,2017-02-28 11:39:13+00:00,request for payment 73190
Permit SUBMITTED by EMPLOYEE,2017-02-28 11:39:13+00:00,request for payment 73192
Permit REJECTED by PRE_APPROVER,2017-02-28 11:39:17+00:00,request for payment 73190
Permit REJECTED by PRE_APPROVER,2017-02-28 11:39:17+00:00,request for payment 73192
Permit SUBMITTED by EMPLOYEE,2017-02-28 11:44:50+00:00,request for payment 75959
Permit SUBMITTED by EMPLOYEE,2017-02-28 11:44:50+00:00,request for payment 75961
Permit REJECTED by PRE_APPROVER,2017-02-28 11:44:58+00:00,request for payment 75959
Permit REJECTED by PRE_APPROVER,2017-02-28 11:44:58+00:00,request for payment 75961
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-28 12:14:30+00:00,request for payment 74020
Request Payment,2017-02-28 14:02:14+00:00,request for payment 74020
Permit SUBMITTED by EMPLOYEE,2017-03-01 10:40:38+00:00,request for payment 73216
Permit APPROVED by PRE_APPROVER,2017-03-01 10:40:46+00:00,request for payment 73216
Request For Payment SUBMITTED by EMPLOYEE,2017-03-01 17:26:25+00:00,request for payment 76932
Request For Payment APPROVED by PRE_APPROVER,2017-03-01 17:27:46+00:00,request for payment 76932
Request For Payment SUBMITTED by EMPLOYEE,2017-03-01 17:28:35+00:00,request for payment 76930
Request For Payment APPROVED by PRE_APPROVER,2017-03-01 17:29:42+00:00,request for payment 76930
Request For Payment SUBMITTED by EMPLOYEE,2017-03-01 17:30:04+00:00,request for payment 76934
Request For Payment APPROVED by PRE_APPROVER,2017-03-01 17:30:53+00:00,request for payment 76934
Request For Payment SUBMITTED by EMPLOYEE,2017-03-01 17:31:41+00:00,request for payment 76936
Request For Payment APPROVED by PRE_APPROVER,2017-03-01 17:32:52+00:00,request for payment 76936
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 07:50:30+00:00,request for payment 76932
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 07:57:39+00:00,request for payment 76930
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 08:13:04+00:00,request for payment 76934
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 08:15:48+00:00,request for payment 76936
Request Payment,2017-03-02 11:04:49+00:00,request for payment 76622
Request For Payment SUBMITTED by EMPLOYEE,2017-03-02 12:54:48+00:00,request for payment 73932
Request For Payment APPROVED by PRE_APPROVER,2017-03-02 12:54:57+00:00,request for payment 73932
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-02 13:02:58+00:00,request for payment 73932
Payment Handled,2017-03-02 16:31:07+00:00,request for payment 74519
Payment Handled,2017-03-02 16:31:07+00:00,request for payment 74020
_END_,2017-03-02 16:31:08+00:00,request for payment 74519
_END_,2017-03-02 16:31:08+00:00,request for payment 74020
Permit REJECTED by EMPLOYEE,2017-03-03 07:39:12+00:00,request for payment 75959
Permit REJECTED by EMPLOYEE,2017-03-03 07:39:12+00:00,request for payment 75961
Permit REJECTED by EMPLOYEE,2017-03-03 07:39:53+00:00,request for payment 73190
Permit REJECTED by EMPLOYEE,2017-03-03 07:39:53+00:00,request for payment 73192
Permit SUBMITTED by EMPLOYEE,2017-03-03 08:39:01+00:00,request for payment 75959
Permit SUBMITTED by EMPLOYEE,2017-03-03 08:39:01+00:00,request for payment 75961
Permit APPROVED by PRE_APPROVER,2017-03-03 08:39:09+00:00,request for payment 75959
Permit APPROVED by PRE_APPROVER,2017-03-03 08:39:09+00:00,request for payment 75961
Permit SUBMITTED by EMPLOYEE,2017-03-03 08:39:42+00:00,request for payment 73190
Permit SUBMITTED by EMPLOYEE,2017-03-03 08:39:42+00:00,request for payment 73192
Permit APPROVED by PRE_APPROVER,2017-03-03 08:39:50+00:00,request for payment 73190
Permit APPROVED by PRE_APPROVER,2017-03-03 08:39:50+00:00,request for payment 73192
Permit FINAL_APPROVED by SUPERVISOR,2017-03-03 09:05:48+00:00,request for payment 75959
Permit FINAL_APPROVED by SUPERVISOR,2017-03-03 09:05:48+00:00,request for payment 75961
Permit FINAL_APPROVED by SUPERVISOR,2017-03-03 09:07:01+00:00,request for payment 73190
Permit FINAL_APPROVED by SUPERVISOR,2017-03-03 09:07:01+00:00,request for payment 73192
Permit SUBMITTED by EMPLOYEE,2017-03-03 14:16:19+00:00,request for payment 77824
Permit APPROVED by PRE_APPROVER,2017-03-03 14:17:48+00:00,request for payment 77824
Request For Payment SUBMITTED by EMPLOYEE,2017-03-05 09:19:12+00:00,request for payment 73308
Request For Payment APPROVED by PRE_APPROVER,2017-03-05 09:19:32+00:00,request for payment 73308
Request Payment,2017-03-06 12:55:41+00:00,request for payment 73932
Permit APPROVED by SUPERVISOR,2017-03-06 13:23:37+00:00,request for payment 77824
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-06 13:25:52+00:00,request for payment 73308
Request For Payment SUBMITTED by EMPLOYEE,2017-03-06 15:20:35+00:00,request for payment 73258
Request For Payment APPROVED by PRE_APPROVER,2017-03-06 15:21:33+00:00,request for payment 73258
Permit SUBMITTED by EMPLOYEE,2017-03-06 15:29:15+00:00,request for payment 77284
Permit SUBMITTED by EMPLOYEE,2017-03-06 15:29:15+00:00,request for payment 77286
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-03-06 15:29:18+00:00,request for payment 73258
