concept:name,time:timestamp,case:concept:name
Request Payment,2017-01-19 14:49:06+00:00,request for payment 147919
Request Payment,2017-01-19 14:51:22+00:00,request for payment 148887
Request Payment,2017-01-19 14:53:59+00:00,request for payment 149154
Payment Handled,2017-01-19 16:31:50+00:00,request for payment 149908
Payment Handled,2017-01-19 16:31:50+00:00,request for payment 149223
Payment Handled,2017-01-19 16:31:50+00:00,request for payment 147938
Payment Handled,2017-01-19 16:31:50+00:00,request for payment 148147
_END_,2017-01-19 16:31:51+00:00,request for payment 149908
_END_,2017-01-19 16:31:51+00:00,request for payment 149223
_END_,2017-01-19 16:31:51+00:00,request for payment 147938
_END_,2017-01-19 16:31:51+00:00,request for payment 148147
Request Payment,2017-01-20 09:44:56+00:00,request for payment 149913
Request For Payment SUBMITTED by EMPLOYEE,2017-01-20 10:15:28+00:00,request for payment 147750
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-20 10:15:35+00:00,request for payment 147750
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-23 04:15:02+00:00,request for payment 149158
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-23 04:15:02+00:00,request for payment 148504
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-23 07:50:59+00:00,request for payment 147942
Request Payment,2017-01-23 12:05:49+00:00,request for payment 147942
Request Payment,2017-01-23 13:46:03+00:00,request for payment 147750
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 148633
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 149913
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 149660
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 149154
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 147906
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 148887
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 147919
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 147911
Payment Handled,2017-01-23 16:32:19+00:00,request for payment 147915
_END_,2017-01-23 16:32:20+00:00,request for payment 148633
_END_,2017-01-23 16:32:20+00:00,request for payment 149913
_END_,2017-01-23 16:32:20+00:00,request for payment 149660
_END_,2017-01-23 16:32:20+00:00,request for payment 149154
_END_,2017-01-23 16:32:20+00:00,request for payment 147906
_END_,2017-01-23 16:32:20+00:00,request for payment 148887
_END_,2017-01-23 16:32:20+00:00,request for payment 147919
_END_,2017-01-23 16:32:20+00:00,request for payment 147911
_END_,2017-01-23 16:32:20+00:00,request for payment 147915
Request Payment,2017-01-24 08:59:44+00:00,request for payment 147746
Request Payment,2017-01-24 10:29:18+00:00,request for payment 147902
Request For Payment SUBMITTED by EMPLOYEE,2017-01-24 13:12:43+00:00,request for payment 148228
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-24 13:31:20+00:00,request for payment 148228
Request For Payment SUBMITTED by EMPLOYEE,2017-01-24 13:41:09+00:00,request for payment 147754
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-24 13:51:06+00:00,request for payment 147754
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-25 04:15:06+00:00,request for payment 148433
Request Payment,2017-01-25 10:02:46+00:00,request for payment 148504
Request Payment,2017-01-25 10:02:51+00:00,request for payment 148433
Request Payment,2017-01-25 10:27:59+00:00,request for payment 148883
Request Payment,2017-01-25 10:33:08+00:00,request for payment 148629
Request Payment,2017-01-25 10:34:47+00:00,request for payment 149369
Request Payment,2017-01-25 10:35:31+00:00,request for payment 147597
Request For Payment SUBMITTED by EMPLOYEE,2017-01-26 09:18:54+00:00,request for payment 149204
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-26 09:19:03+00:00,request for payment 149204
Request For Payment SUBMITTED by EMPLOYEE,2017-01-26 10:54:32+00:00,request for payment 148438
Request For Payment REJECTED by PRE_APPROVER,2017-01-26 10:54:39+00:00,request for payment 148438
Request For Payment SUBMITTED by EMPLOYEE,2017-01-26 10:55:32+00:00,request for payment 148757
Request For Payment REJECTED by PRE_APPROVER,2017-01-26 10:55:39+00:00,request for payment 148757
Request Payment,2017-01-26 12:28:05+00:00,request for payment 147754
Request Payment,2017-01-26 12:32:03+00:00,request for payment 149834
Request For Payment SUBMITTED by EMPLOYEE,2017-01-26 12:39:33+00:00,request for payment 148446
Request For Payment APPROVED by PRE_APPROVER,2017-01-26 13:01:14+00:00,request for payment 148446
Payment Handled,2017-01-26 16:30:47+00:00,request for payment 147746
Payment Handled,2017-01-26 16:30:47+00:00,request for payment 147902
Payment Handled,2017-01-26 16:30:47+00:00,request for payment 147942
Payment Handled,2017-01-26 16:30:47+00:00,request for payment 147750
_END_,2017-01-26 16:30:48+00:00,request for payment 147746
_END_,2017-01-26 16:30:48+00:00,request for payment 147902
_END_,2017-01-26 16:30:48+00:00,request for payment 147942
_END_,2017-01-26 16:30:48+00:00,request for payment 147750
Request For Payment SUBMITTED by EMPLOYEE,2017-01-27 10:35:34+00:00,request for payment 147759
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 10:36:30+00:00,request for payment 147759
Request Payment,2017-01-27 11:08:31+00:00,request for payment 149204
Request Payment,2017-01-27 11:09:45+00:00,request for payment 148228
Request For Payment SUBMITTED by EMPLOYEE,2017-01-27 12:06:30+00:00,request for payment 148394
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 12:06:41+00:00,request for payment 148394
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 12:11:45+00:00,request for payment 148446
Request Payment,2017-01-27 13:34:02+00:00,request for payment 148446
Request For Payment SUBMITTED by EMPLOYEE,2017-01-27 15:04:48+00:00,request for payment 147763
Request For Payment APPROVED by PRE_APPROVER,2017-01-27 15:04:58+00:00,request for payment 147763
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-27 15:05:23+00:00,request for payment 147763
Request For Payment SUBMITTED by EMPLOYEE,2017-01-29 11:54:00+00:00,request for payment 147982
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-29 11:58:26+00:00,request for payment 147982
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 07:48:44+00:00,request for payment 148765
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 07:48:58+00:00,request for payment 148765
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 09:06:21+00:00,request for payment 148232
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 09:06:32+00:00,request for payment 148232
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 09:16:42+00:00,request for payment 147768
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 09:16:50+00:00,request for payment 147768
Request Payment,2017-01-30 09:36:14+00:00,request for payment 147982
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 10:21:20+00:00,request for payment 149373
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 10:22:40+00:00,request for payment 149373
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 11:12:46+00:00,request for payment 148509
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 12:29:53+00:00,request for payment 148152
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 12:30:07+00:00,request for payment 148152
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 12:31:58+00:00,request for payment 147772
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-30 12:32:01+00:00,request for payment 147772
Request For Payment APPROVED by PRE_APPROVER,2017-01-30 14:05:08+00:00,request for payment 148509
Request For Payment SUBMITTED by EMPLOYEE,2017-01-30 14:06:29+00:00,request for payment 149484
Request For Payment APPROVED by PRE_APPROVER,2017-01-30 14:08:06+00:00,request for payment 149484
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 147597
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 149369
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 148629
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 148883
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 148504
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 148433
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 149834
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 148228
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 147754
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 149204
Payment Handled,2017-01-30 16:31:40+00:00,request for payment 148446
_END_,2017-01-30 16:31:41+00:00,request for payment 147597
_END_,2017-01-30 16:31:41+00:00,request for payment 149369
_END_,2017-01-30 16:31:41+00:00,request for payment 148629
_END_,2017-01-30 16:31:41+00:00,request for payment 148883
_END_,2017-01-30 16:31:41+00:00,request for payment 148504
_END_,2017-01-30 16:31:41+00:00,request for payment 148433
_END_,2017-01-30 16:31:41+00:00,request for payment 149834
_END_,2017-01-30 16:31:41+00:00,request for payment 148228
_END_,2017-01-30 16:31:41+00:00,request for payment 147754
_END_,2017-01-30 16:31:41+00:00,request for payment 149204
_END_,2017-01-30 16:31:41+00:00,request for payment 148446
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 08:20:59+00:00,request for payment 149484
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 08:21:01+00:00,request for payment 148509
Request Payment,2017-01-31 11:52:55+00:00,request for payment 147768
Request Payment,2017-01-31 11:58:59+00:00,request for payment 149373
Request Payment,2017-01-31 12:00:12+00:00,request for payment 148232
Request Payment,2017-01-31 12:14:17+00:00,request for payment 147772
Request Payment,2017-01-31 12:15:06+00:00,request for payment 148152
Request For Payment SUBMITTED by EMPLOYEE,2017-01-31 12:57:57+00:00,request for payment 149838
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 12:58:07+00:00,request for payment 149838
Request For Payment SUBMITTED by EMPLOYEE,2017-01-31 14:03:12+00:00,request for payment 149455
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 14:03:23+00:00,request for payment 149455
Request For Payment SUBMITTED by EMPLOYEE,2017-01-31 14:04:40+00:00,request for payment 148398
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-01-31 14:04:42+00:00,request for payment 148398
Request Payment,2017-01-31 15:51:32+00:00,request for payment 149484
Request For Payment REJECTED by EMPLOYEE,2017-02-01 09:51:50+00:00,request for payment 148438
Request For Payment REJECTED by EMPLOYEE,2017-02-01 09:52:20+00:00,request for payment 148757
Request For Payment SUBMITTED by EMPLOYEE,2017-02-01 11:53:47+00:00,request for payment 148757
Request For Payment APPROVED by PRE_APPROVER,2017-02-01 11:54:14+00:00,request for payment 148757
Request For Payment SUBMITTED by EMPLOYEE,2017-02-01 11:54:23+00:00,request for payment 148438
Request For Payment APPROVED by PRE_APPROVER,2017-02-01 11:54:48+00:00,request for payment 148438
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-01 14:51:13+00:00,request for payment 148438
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-01 14:51:38+00:00,request for payment 148757
Request For Payment SUBMITTED by EMPLOYEE,2017-02-01 16:30:44+00:00,request for payment 148157
Request For Payment REJECTED by PRE_APPROVER,2017-02-01 16:32:04+00:00,request for payment 148157
Request For Payment REJECTED by EMPLOYEE,2017-02-02 07:53:30+00:00,request for payment 148157
Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 08:26:58+00:00,request for payment 148157
Request For Payment APPROVED by PRE_APPROVER,2017-02-02 08:28:25+00:00,request for payment 148157
Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 08:29:48+00:00,request for payment 148553
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 08:30:29+00:00,request for payment 148553
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 08:34:15+00:00,request for payment 148157
Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 09:16:20+00:00,request for payment 147986
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 09:17:03+00:00,request for payment 147986
Request Payment,2017-02-02 09:23:55+00:00,request for payment 149158
Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 10:32:23+00:00,request for payment 149385
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 10:32:31+00:00,request for payment 149385
Request Payment,2017-02-02 13:22:21+00:00,request for payment 148509
Request Payment,2017-02-02 13:30:14+00:00,request for payment 147763
Payment Handled,2017-02-02 16:32:54+00:00,request for payment 147982
Payment Handled,2017-02-02 16:32:54+00:00,request for payment 148232
Payment Handled,2017-02-02 16:32:54+00:00,request for payment 147768
Payment Handled,2017-02-02 16:32:54+00:00,request for payment 149373
Payment Handled,2017-02-02 16:32:54+00:00,request for payment 148152
Payment Handled,2017-02-02 16:32:54+00:00,request for payment 147772
Payment Handled,2017-02-02 16:32:54+00:00,request for payment 149484
_END_,2017-02-02 16:32:55+00:00,request for payment 147982
_END_,2017-02-02 16:32:55+00:00,request for payment 148232
_END_,2017-02-02 16:32:55+00:00,request for payment 147768
_END_,2017-02-02 16:32:55+00:00,request for payment 149373
_END_,2017-02-02 16:32:55+00:00,request for payment 148152
_END_,2017-02-02 16:32:55+00:00,request for payment 147772
_END_,2017-02-02 16:32:55+00:00,request for payment 149484
Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 16:42:22+00:00,request for payment 148402
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 16:43:01+00:00,request for payment 148402
Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 16:54:36+00:00,request for payment 149665
Request For Payment REJECTED by SUPERVISOR,2017-02-02 16:54:43+00:00,request for payment 149665
Request For Payment SUBMITTED by EMPLOYEE,2017-02-02 17:29:16+00:00,request for payment 149298
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-02 17:30:59+00:00,request for payment 149298
Request For Payment SUBMITTED by EMPLOYEE,2017-02-03 07:17:08+00:00,request for payment 148769
Request For Payment SUBMITTED by EMPLOYEE,2017-02-03 08:13:33+00:00,request for payment 149389
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-03 08:13:36+00:00,request for payment 149389
Request Payment,2017-02-03 10:27:25+00:00,request for payment 149385
Request Payment,2017-02-03 10:33:18+00:00,request for payment 149389
Request Payment,2017-02-03 13:27:47+00:00,request for payment 148553
Request For Payment SUBMITTED by EMPLOYEE,2017-02-04 15:43:59+00:00,request for payment 148557
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-04 15:44:13+00:00,request for payment 148557
Request Payment,2017-02-06 07:19:49+00:00,request for payment 148398
Request Payment,2017-02-06 07:20:15+00:00,request for payment 149455
Request Payment,2017-02-06 07:39:16+00:00,request for payment 149298
Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 09:12:55+00:00,request for payment 148561
Request For Payment APPROVED by PRE_APPROVER,2017-02-06 09:14:08+00:00,request for payment 148561
Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 10:49:39+00:00,request for payment 148566
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 10:51:56+00:00,request for payment 148566
Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 11:21:29+00:00,request for payment 149227
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 11:22:21+00:00,request for payment 149227
Request For Payment REJECTED by EMPLOYEE,2017-02-06 12:44:07+00:00,request for payment 149665
_END_,2017-02-06 12:44:08+00:00,request for payment 149665
Request For Payment REJECTED by PRE_APPROVER,2017-02-06 14:56:17+00:00,request for payment 148749
Request For Payment REJECTED by EMPLOYEE,2017-02-06 15:09:19+00:00,request for payment 148749
Request For Payment SUBMITTED by EMPLOYEE,2017-02-06 15:38:33+00:00,request for payment 148749
Request For Payment APPROVED by PRE_APPROVER,2017-02-06 15:38:37+00:00,request for payment 148749
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-06 16:06:26+00:00,request for payment 148749
Payment Handled,2017-02-06 16:31:45+00:00,request for payment 149158
Payment Handled,2017-02-06 16:31:45+00:00,request for payment 147763
Payment Handled,2017-02-06 16:31:45+00:00,request for payment 148509
Payment Handled,2017-02-06 16:31:45+00:00,request for payment 148553
Payment Handled,2017-02-06 16:31:45+00:00,request for payment 149385
Payment Handled,2017-02-06 16:31:45+00:00,request for payment 149389
_END_,2017-02-06 16:31:46+00:00,request for payment 149158
_END_,2017-02-06 16:31:46+00:00,request for payment 147763
_END_,2017-02-06 16:31:46+00:00,request for payment 148509
_END_,2017-02-06 16:31:46+00:00,request for payment 148553
_END_,2017-02-06 16:31:46+00:00,request for payment 149385
_END_,2017-02-06 16:31:46+00:00,request for payment 149389
Request For Payment SUBMITTED by EMPLOYEE,2017-02-07 08:51:06+00:00,request for payment 147549
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-07 08:55:22+00:00,request for payment 147549
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-07 14:42:55+00:00,request for payment 148561
Request Payment,2017-02-07 15:00:24+00:00,request for payment 147549
Request Payment,2017-02-07 15:01:40+00:00,request for payment 149227
Request Payment,2017-02-07 15:04:08+00:00,request for payment 148566
Request Payment,2017-02-07 15:06:03+00:00,request for payment 148557
Request Payment,2017-02-07 15:08:03+00:00,request for payment 148402
Request Payment,2017-02-07 15:09:17+00:00,request for payment 147986
Request Payment,2017-02-07 15:09:54+00:00,request for payment 147759
Request For Payment SUBMITTED by EMPLOYEE,2017-02-07 19:50:37+00:00,request for payment 149842
Request For Payment FINAL_APPROVED by SUPERVISOR,2017-02-07 19:50:45+00:00,request for payment 149842
Request Payment,2017-02-08 12:03:45+00:00,request for payment 149842
Request For Payment REJECTED by MISSING,2017-02-08 14:36:48+00:00,request for payment 148749
_END_,2017-02-08 14:36:49+00:00,request for payment 148749
